url	topic_name	topic	probability	main_topic
http://twitter.com/i/web/status/1576165030034292736	jimin_seaweed_birthday	178	69.0	178
http://twitter.com/i/web/status/1576165119977222144	sadame_en_jp	100	100.0	100
http://twitter.com/i/web/status/1576168359128768512	clothes_wear_outfit	81	1.0	-1
http://twitter.com/i/web/status/1576168567887654912	tired_im_stressed	196	1.0	-1
http://twitter.com/i/web/status/1576169038190825480	ukraine_russia_russian	1	9.0	1
http://twitter.com/i/web/status/1576169633941360640	ji_visit_yatra	62	2.0	-1
http://twitter.com/i/web/status/1576169984002490368	walk_jump_walks	186	2.0	186
http://twitter.com/i/web/status/1576170315675205634	sunset_sky_purple	393	12.0	393
http://twitter.com/i/web/status/1576171125767540736	bts_run_fool	19	2.0	19
http://twitter.com/i/web/status/1576171301869584385	quotes_self_straightforward	209	3.0	209
http://twitter.com/i/web/status/1576171942029033473	armys_army_military	17	48.0	17
http://twitter.com/i/web/status/1576172116961296385	october_draining_tiring	66	2.0	-1
http://twitter.com/i/web/status/1576172116961296385	st_october_octopop	339	2.0	-1
http://twitter.com/i/web/status/1576172155712471040	funny_humor_jokes	143	4.0	143
http://twitter.com/i/web/status/1576173175674589184	pictures_images_profile	101	100.0	101
http://twitter.com/i/web/status/1576173224689532928	problem_hi_nvm	282	100.0	282
http://twitter.com/i/web/status/1576175547935526912	iran_mahsaamini_freedom	90	11.0	90
http://twitter.com/i/web/status/1576175894271381505	st_october_octopop	339	100.0	339
http://twitter.com/i/web/status/1576175962651209728	covid_vaccine_pfizer	0	1.0	0
http://twitter.com/i/web/status/1576177592289284096	october_draining_tiring	66	40.0	66
http://twitter.com/i/web/status/1576178474900811776	coffee_iced_tea	131	2.0	-1
http://twitter.com/i/web/status/1576179849194278912	education_encounters_normandy	455	2.0	-1
http://twitter.com/i/web/status/1576180950060482563	birthday_happy_prabhas	11	100.0	11
http://twitter.com/i/web/status/1576182287120887808	boop_sigh_lmao	193	100.0	193
http://twitter.com/i/web/status/1576182645209567232	insane_crazy_arrangement	246	100.0	246
http://twitter.com/i/web/status/1576182723986673664	twitter_tweet_whatsapp	18	29.0	18
http://twitter.com/i/web/status/1576182921991720965	com_remote_channels	231	6.0	231
http://twitter.com/i/web/status/1576183024726999042	bts_run_fool	19	1.0	19
http://twitter.com/i/web/status/1576183942126145537	nigeria_nigerians_obi	28	44.0	28
http://twitter.com/i/web/status/1576183982190100481	october_draining_tiring	66	7.0	66
http://twitter.com/i/web/status/1576184512668925959	pray_god_allah	12	4.0	12
http://twitter.com/i/web/status/1576184916408430592	october_draining_tiring	66	21.0	66
http://twitter.com/i/web/status/1576186251371167744	insane_crazy_arrangement	246	2.0	246
http://twitter.com/i/web/status/1576186851584774150	dog_dogs_puppy	37	1.0	37
http://twitter.com/i/web/status/1576187506390802433	girl_homegirls_girlboss	168	4.0	168
http://twitter.com/i/web/status/1576189831243522049	jimin_ramyeon_park	26	26.0	26
http://twitter.com/i/web/status/1576190456689577984	workout_gym_exercises	255	7.0	255
http://twitter.com/i/web/status/1576191065585225728	witch_dracula_magic	379	100.0	379
http://twitter.com/i/web/status/1576191171294265344	hold_alright_ill	340	3.0	-1
http://twitter.com/i/web/status/1576191171294265344	sorry_offense_traffic	347	3.0	-1
http://twitter.com/i/web/status/1576191431810523137	jimin_seaweed_birthday	178	4.0	178
http://twitter.com/i/web/status/1576191651789373443	sleep_wake_bed	16	100.0	16
http://twitter.com/i/web/status/1576192105117978625	kumpulan_template_ppt	121	4.0	121
http://twitter.com/i/web/status/1576193158152527872	adulting_adulthood_dirt	279	4.0	279
http://twitter.com/i/web/status/1576194042635128833	kinds_two_threee	406	100.0	406
http://twitter.com/i/web/status/1576195321297866752	florida_desantis_hurricane	30	100.0	30
http://twitter.com/i/web/status/1576195368064208896	jayb_cdnza_jay	95	3.0	95
http://twitter.com/i/web/status/1576196213933678593	cat_cats_kitten	13	4.0	13
http://twitter.com/i/web/status/1576196551562522625	wonwoo_hoshi_satoru	365	1.0	-1
http://twitter.com/i/web/status/1576196631128526849	bella_hadid_swan	313	100.0	313
http://twitter.com/i/web/status/1576197672431538176	manufacturing_solar_energy	152	2.0	-1
http://twitter.com/i/web/status/1576197672431538176	climate_change_science	390	2.0	-1
http://twitter.com/i/web/status/1576198337321398272	monday_weeknd_day	15	6.0	15
http://twitter.com/i/web/status/1576199043537149952	com_remote_channels	231	9.0	231
http://twitter.com/i/web/status/1576199116920541184	dear_hello_helloween	237	100.0	237
http://twitter.com/i/web/status/1576199256100130816	sleep_wake_bed	16	1.0	-1
http://twitter.com/i/web/status/1576199697269915649	month_windominospizza_chance	377	100.0	377
http://twitter.com/i/web/status/1576199809538457605	october_draining_tiring	66	4.0	66
http://twitter.com/i/web/status/1576200309986455555	almighty_strength_wasted	457	1.0	-1
http://twitter.com/i/web/status/1576200322417971200	florida_desantis_hurricane	30	6.0	30
http://twitter.com/i/web/status/1576200571433820160	life_doesn_accepting	106	2.0	-1
http://twitter.com/i/web/status/1576200571433820160	turnaround_lifestyle_success	449	2.0	-1
http://twitter.com/i/web/status/1576200606955479041	neocity_link_nct	163	7.0	163
http://twitter.com/i/web/status/1576200760164876294	spooky_spooks_season	245	28.0	245
http://twitter.com/i/web/status/1576200897763627010	nigeria_nigerians_obi	28	6.0	28
http://twitter.com/i/web/status/1576201251301511169	de_que_djokovic	197	100.0	197
http://twitter.com/i/web/status/1576201741661519873	ronaldo_cristiano_goals	6	25.0	6
http://twitter.com/i/web/status/1576202649581809664	ronaldo_cristiano_goals	6	100.0	6
http://twitter.com/i/web/status/1576202764090499072	truss_johnson_boris	9	7.0	9
http://twitter.com/i/web/status/1576203435392700418	aespa_givenchy_aespapfw	249	22.0	249
http://twitter.com/i/web/status/1576204031952711680	monday_weeknd_day	15	10.0	15
http://twitter.com/i/web/status/1576204576243343360	october_draining_tiring	66	22.0	66
http://twitter.com/i/web/status/1576204879278002176	missing_name_monique	425	100.0	425
http://twitter.com/i/web/status/1576204925511794690	wonwoo_hoshi_satoru	365	100.0	365
http://twitter.com/i/web/status/1576204935628488707	black_white_donda	32	40.0	32
http://twitter.com/i/web/status/1576205837944881152	language_love_lula	157	100.0	157
http://twitter.com/i/web/status/1576206582823542784	jayb_cdnza_jay	95	7.0	95
http://twitter.com/i/web/status/1576206697479405568	thoughts_thinking_crazy	57	6.0	57
http://twitter.com/i/web/status/1576206875716001792	hardest_feel_strong	295	100.0	295
http://twitter.com/i/web/status/1576207186862436352	jayb_cdnza_jay	95	100.0	95
http://twitter.com/i/web/status/1576207275944923136	wonwoo_hoshi_satoru	365	10.0	365
http://twitter.com/i/web/status/1576207584851554305	florida_desantis_hurricane	30	30.0	30
http://twitter.com/i/web/status/1576207786954092545	home_class_massages	71	1.0	71
http://twitter.com/i/web/status/1576208262315347968	abbott_greg_texas	60	100.0	60
http://twitter.com/i/web/status/1576208683020582912	sims_cod_game	114	8.0	114
http://twitter.com/i/web/status/1576208711227691009	covid_vaccine_pfizer	0	17.0	0
http://twitter.com/i/web/status/1576208807574704128	october_draining_tiring	66	7.0	66
http://twitter.com/i/web/status/1576209600352641024	screaming_scream_rumbling	325	100.0	325
